continent,location,population,infected_count,death_count,population_infection_rate,fatality_rate,population_death_rate
Africa,Algeria,43851043,122108,3253,0.278460879482388,2.66403511645429,0.00741829561499826
Africa,Angola,32866268,26652,596,0.081092261524795,2.23622992645955,0.00181340942026031
Africa,Benin,12123198,7821,99,0.0645126805649796,1.26582278481013,0.000816616209683287
Africa,Botswana,2351625,46934,712,1.99581140700579,1.51702390591043,0.0302769361611652
Africa,Burkina Faso,20903278,13310,157,0.0636742237270155,1.17956423741548,0.000751078371535795
Africa,Burundi,11890781,3995,6,0.0335974567187807,0.150187734668335,5.04592591521112E-05
Africa,Cameroon,26545864,72250,1107,0.272170459398119,1.53217993079585,0.00417014115645285
Africa,Cape Verde,555988,23882,217,4.295416447837,0.908634117745582,0.0390296193443024
Africa,Central African Republic,4829764,6411,88,0.13273940507238,1.37264077367025,0.00182203519675081
Africa,Chad,16425859,4817,170,0.0293257113676673,3.52916753165871,0.00103495348401566
Africa,Comoros,869595,3834,146,0.440894899349697,3.80803338549817,0.016789424962195
Africa,Congo,5518092,10678,144,0.193508915762912,1.34856714740588,0.00260959766527996
Africa,Cote d'Ivoire,26378275,46036,286,0.174522405274795,0.621252932487618,0.00108422556061759
Africa,Democratic Republic of Congo,89561404,29853,766,0.033332438602682,2.56590627407631,0.000855279133408851
Africa,Djibouti,988002,11100,143,1.1234795071265,1.28828828828829,0.0144736549116297
Africa,Egypt,102334403,227552,13339,0.222361193625178,5.86195682745043,0.0130347171713114
Africa,Equatorial Guinea,1402985,7694,112,0.548402156829902,1.4556797504549,0.00798297914803081
Africa,Eritrea,3546427,3671,10,0.103512633983443,0.272405339144647,0.000281973941660155
Africa,Eswatini,1160164,18458,671,1.5909819646188,3.63528009535161,0.057836650680421
Africa,Ethiopia,114963583,257442,3688,0.223933521626583,1.43255568244498,0.00320797238896077
Africa,Gabon,2225728,23075,139,1.03673943985968,0.602383531960997,0.00624514765505938
Africa,Gambia,2416664,5898,174,0.244055441716349,2.95015259409969,0.00720000794483635
Africa,Ghana,31072945,92562,779,0.297886151441391,0.841598064000346,0.00250700408345588
Africa,Guinea,13132792,22215,144,0.169156718540886,0.648210668467252,0.00109649189601115
Africa,Guinea-Bissau,1967998,3734,67,0.189735965178826,1.794322442421,0.00340447500454777
Africa,Kenya,53771300,159318,2724,0.296288168595515,1.70978797122736,0.00506589946681594
